r,p,name
-0.764152906836041,1.140331200348232e-11,uniswap
-0.6107852722901382,4.8346134590411624e-18,hot_wallet
-0.6085740275381426,6.8536407675385365e-18,cex
-0.6084879983943737,6.946946425429733e-18,ftx
-0.594009941139941,6.387313349702592e-17,inverse finance
-0.5857603952779808,2.1530355407530042e-16,contract_deployer
-0.5809475019311126,0.0006106304837378898,opportunist
-0.570445040608023,1.8798273303773805e-15,MAX_ETH_BALANCE
-0.5581682384625278,9.863316709651438e-15,0xdc24316b9ae028f1497c275eb9192a3ea0f67022-steth-eth-count
-0.5359974527114448,1.6658502896429616e-13,stETH-WETH LP-eth-steth-count
-0.5275304008829224,4.647592040770292e-13,general_contract
-0.526378361653719,5.332168632594934e-13,stETH-WETH LP-steth-eth-count
-0.5064486659330572,5.302529949681656e-12,LABEL_SUBTYPES
-0.5025338586746576,3.675460573865648e-05,ribbon finance
-0.4938517868058581,2.1011727794476113e-11,swap_contract
-0.4864376934014071,4.6043859818995274e-11,NUMBER_WALLETS
-0.48636223839019105,4.640848430129796e-11,NON_LABELED_WALLET_COUNTS
-0.4825416771665948,6.901818529109205e-11,LABELED_WALLET_COUNTS
-0.4785065610418523,1.044032562217156e-10,STAKED_ETH_BALANCE
-0.4728892942013813,1.8410957408308003e-10,treasury
-0.4651966541170414,3.9381778865452184e-10,LABELS
-0.46488951849267335,4.057982912345747e-10,deposit_wallet
-0.4560447744817488,9.497856023591341e-10,NON_LABELED_WALLET_SUM
-0.4413292684762474,3.7083520571943225e-09,token_contract
-0.44015986500273385,4.120924809803624e-09,lido
-0.40037076900112306,1.1872083568393346e-07,AVERAGE_ETH_BALANCE
-0.3906195022756292,2.5361511672574575e-07,LABEL_TYPES
-0.3352353533643209,0.00013259699200522885,layer2
-0.28663169700860386,0.00020771284020073497,toxic
-0.28663169700860386,0.00020771284020073497,flotsam
-0.13167643383054972,0.09383658782916937,0xdc24316b9ae028f1497c275eb9192a3ea0f67022-eth-steth-count
-0.03081030679143057,0.6962222137823026,dapp
-0.001301022529607829,0.9868494483721579,dex
0.00023138526351917723,0.9976610889080337,curve fi
0.003552486464292279,0.9641023646794062,pool
0.15701600504662586,0.04532216438475565,1inch
0.18118109177263741,0.020637399102600932,LABELED_WALLET_SUM
0.19083006426519528,0.014684338183315382,distributor_cex
0.23837996740839537,0.0021817326592537263,defi
0.47809935848561014,1.0882376187054836e-10,sybil delegate
0.5007527128727643,9.95176541983419e-12,vault
0.5028948074594505,7.864444727681726e-12,anchor
0.5985184028273658,0.00014591820093221776,gate.io
0.7971580727232218,3.38303169382554e-11,nf_position_manager
